latitude,longitude,uid
4.300175,7.678759,492
4.292169,7.658501,493
5.816794,5.20156,494
5.024891,6.359269,495
5.4,6.596626,496
4.55439,6.900569,497
4.930064,7.016122,498
4.802591,5.311827,499
4.9333,6.976261,500
4.367007,5.791351,501
5.330684,5.209144,502
3.978498,7.757683,503
5.534688,5.537787,504
5.860145,5.133048,505
4.128127,8.095722,506
5.654619,6.537109,507
4.649018,6.632152,508
4.885474,6.372236,509
4.100618,8.17215,510
4.451505,6.283741,511
5.857708,5.685566,512
4.997795,5.686884,513
4.816169,5.9510439999999996,514
4.928865,6.654295,515
5.007888,7.019314,516
5.545794,6.683012,517
5.197328,6.49107,518
5.247404,6.660784,519
5.655815,5.147337,520
5.548421,6.013495,521
5.863575,5.692198,522
4.98182,7.117818,523
5.353768,6.840284,524
5.431072,5.268118,525
4.576051,8.424142,526
5.360241,5.324805,527
4.729408,7.119499,528
5.545273,6.764217,529
5.00575,5.686716,530
5.006035,6.811981,531
4.283642,8.187083,532
5.375482,6.040556,533
4.958464,6.774532,534
5.412069,5.32078,535
4.833653,7.10843,536
5.632463,5.154239,537
5.565958,5.220832,538
5.659184,5.350618,539
5.412327,5.392733,540
5.464802,5.902469,541
4.967651,6.640491,542
4.5418520000000004,7.062012,543
4.608655,7.120116,544
3.465181,5.561301,545
4.304748,7.659666,546
5.659327,6.516735,547
4.289964,8.167351,548
5.900613,5.582801,549
4.316487,8.36658,550
4.017292,7.491783,551
4.146008,7.971922,552
5.715508,6.486088,553
3.575399,7.393782,554
5.684866,6.359107,555
4.629017,6.263712,556
5.386411,6.656944,557
5.524184,5.467627,558
5.250482,6.599878,559
5.433808,5.884069,560
3.989662,7.290025,561
6.0621,5.586478,562
6.013506,5.865215,563
4.552388,8.009883,564
5.358679,4.341772,565
5.09945,6.506584,566
5.614297,5.201356,567
4.850925,5.692012,568
4.556506,7.003443,569
5.951063,5.050605,570
4.653515,7.059577,571
5.883441,6.218215,572
4.559409,6.975939,573
5.708446,4.481241,574
4.403787,7.828628,575
5.774277,4.890336,576
5.559328,5.072464,577
4.135311,7.516059,578
5.771352,6.626826,579
3.940112,6.397086,580
5.618867,6.814516,581
4.526708,6.632462,582
4.8028130000000004,5.311769,583
6.038353,5.717822,584
5.721735,6.513824,585
4.5301,6.818779,586
5.436201,5.141527,587
4.106401,7.624821,588
5.535905,5.194834,589
4.338401,5.925358,590
5.687336,6.591293,591
5.634688,6.669591,592
5.783753,5.428543,593
5.688168,5.377151,594
4.433583,6.32467,595
4.365271,7.99793,596
5.715699,6.421337,597
4.552467,7.044431,598
5.018451,6.299994,599
4.326619,5.821728,600
4.655374,6.614946,601
5.515813,5.937573,602
5.600294,5.109135,603
3.1422,6.82306,604
5.447517,5.880214,605
6.153564,5.342838,606
5.568542,6.304875,607
4.45299,6.325408,608
4.555969,5.921292,609
6.126784,6.014983,610
3.854577,6.980343,611
6.064815,5.437493,612
4.625809,6.814961,613
4.560042,6.7101,614
4.554702,4.615762,615
4.441648,6.361431,616
4.104947,7.799528,617
4.53972,6.503418,618
5.237902,6.626875,619
3.953816,7.774807,620
4.813802,5.961759,621
4.271809,8.337987,622
5.458525,6.694514,623
5.326898,6.241722,624
5.666595,6.39379,625
4.581939,8.190315,626
5.192997,6.761879,627
6.163063,2.931567,628
5.356403,6.144118,629
4.549414,6.666298,630
5.727063,4.831717,631
4.034915,7.686062,632
4.419813,6.51713,633
4.842688,7.254416,634
5.50407,6.832275,635
4.866943,7.251628,636
4.242412,7.794053,637
5.38662,4.590134,638
5.573453,5.058822,639
5.534678,5.53767,640
5.489645,6.135772,641
4.661014,6.077097,642
5.862048,5.689971,643
4.36699,5.791066,644
5.538618,5.894688,645
5.662372,6.532795,646
5.538178,5.091636,647
3.955475,7.7586,648
4.100825,8.172013,649
4.451486,6.283687,650
4.933306,6.976261,651
4.885708,6.371969,652
4.800357,6.090033,653
5.651694,6.06984,654
5.655859,5.147302,655
3.978613,7.757544,656
4.554446,6.900259,657
5.860351,5.133053,658
4.930315,7.015865,659
5.376079,5.30818,660
6.150213,5.354708,661
5.409545,5.318544,662
4.649413,6.631844,663
5.330832,5.208935,664
5.008087,7.01918,665
5.521779,6.058562,666
5.545979,6.682944,667
4.998045,5.687904,668
5.869127,4.939792,669
3.446408,5.557613,670
4.980284,7.182074,671
5.401022,6.596537,672
4.892599,7.119685,673
5.247337,6.66079,674
4.913569,5.773541,675
5.661466,6.706684,676
5.459331,6.179688,677
5.006207,5.686783,678
4.288061,7.678964,679
4.928866,6.654133,680
5.816814,5.201252,681
5.431079,5.268218,682
4.878162,5.615902,683
4.576465,8.42251,684
4.24278,8.322911,685
5.823064,6.442062,686
5.673382,5.274749,687
5.19755,6.490464,688
4.127903,8.096343,689
4.221158,8.334415,690
5.375433,6.039864,691
5.36011,5.324913,692
5.548418,6.013477,693
4.986995,7.168033,694
4.839614,7.104075,695
4.78297,5.650913,696
4.705065,7.116365,697
5.007241,6.81101,698
5.971758,5.647269,699
5.337207,5.352942,700
4.981925,7.117576,701
4.468807,7.196385,702
5.54468,6.764131,703
4.991451,5.554061,704
5.802696,6.560969,705
4.50642,7.267215,706
5.562229,5.714586,707
4.761873,7.110704,708
10.412327,7.492,709
4.423291,7.154942,710
4.415441,7.141104,711
4.428583,7.170918,712
3.465556,5.561424,713
4.017314,7.492048,714
4.30439,7.659828,715
4.145989,7.972265,716
5.359015,4.342074,717
5.715931,6.486049,718
3.575664,7.393632,719
4.289059,8.166947,720
3.989437,7.289822,721
4.3165,8.367373,722
5.708575,4.480999,723
4.628654,6.263662,724
5.659756,6.516747,725
5.386449,6.657321,726
5.684978,6.359498,727
5.249976,6.600163,728
4.552314,8.010538,729
4.554563,4.61581,730
4.33795,5.925732,731
6.013361,5.865319,732
5.559601,5.072554,733
5.099824,6.506783,734
4.5564,7.004156,735
4.851267,5.691978,736
5.434072,5.884495,737
5.881633,6.21788,738
5.018519,6.300249,739
4.653105,7.059494,740
4.403874,7.828436,741
3.854888,6.980304,742
4.559314,6.975436,743
5.900427,5.582558,744
5.634508,6.669287,745
4.552423,7.044982,746
5.776598,4.889249,747
4.135576,7.515726,748
3.142146,6.823119,749
6.062914,5.586881,750
4.365157,7.998021,751
4.526623,6.632393,752
5.386644,4.589998,753
4.32657,5.821535,754
5.619353,6.81484,755
4.802638,5.311551,756
5.783928,5.428429,757
4.433334,6.325046,758
5.61565,5.201781,759
5.52322,5.469312,760
4.242794,7.794592,761
5.715111,6.421534,762
4.529664,6.818566,763
5.600489,5.10901,764
4.441232,6.361301,765
5.515931,5.937922,766
5.950831,5.050792,767
4.453436,6.325696,768
4.560747,6.710153,769
4.556198,5.921226,770
5.771656,6.626812,771
4.655727,6.614827,772
5.687789,5.377614,773
5.448033,5.879232,774
5.722176,6.517175,775
3.940516,6.397636,776
6.153411,5.342829,777
4.625983,6.814723,778
5.726996,4.831404,779
5.238139,6.627007,780
4.271709,8.337876,781
5.528573,5.46558,782
5.687372,6.591955,783
5.436412,5.140323,784
4.581628,8.1907,785
4.5399,6.503406,786
5.666182,6.394288,787
4.549595,6.665867,788
4.885795,6.372529,789
5.536261,5.194762,790
4.10155,8.171443,791
4.035256,7.686033,792
3.953825,7.774937,793
6.162866,2.931157,794
5.574415,5.058646,795
4.933488,6.976393,796
5.544576,6.683584,797
4.813842,5.961713,798
3.955408,7.758341,799
5.661347,6.70616,800
5.53773,5.091626,801
5.860624,5.133168,802
5.376585,5.307872,803
4.841493,7.254086,804
5.192757,6.761964,805
4.880927,5.615136,806
4.930327,7.016166,807
6.037945,5.717865,808
4.419907,6.517458,809
5.597762,4.989305,810
4.980458,7.182917,811
4.401364,6.646696,812
4.998095,5.687411,813
4.451672,6.283424,814
5.005966,5.686526,815
4.913101,5.773708,816
5.673334,5.274667,817
4.554452,6.900555,818
5.327062,6.241919,819
4.865046,7.246852,820
4.349815,7.312223,821
4.893012,7.119874,822
5.489801,6.135623,823
5.568556,6.30496,824
3.978363,7.757944,825
4.128112,8.095892,826
4.366858,5.791246,827
5.356247,6.144187,828
6.065318,5.437227,829
5.409877,5.318135,830
5.02536,6.358597,831
5.864029,5.692104,832
5.246835,6.660062,833
4.468719,7.196144,834
4.012609,7.520558,835
5.817087,5.200963,836
5.360182,5.324745,837
5.538653,5.894491,838
5.45982,6.694857,839
5.654777,5.147616,840
4.353778,8.245296,841
4.981293,6.683999,842
4.831409,7.107197,843
5.535169,5.537382,844
4.929063,6.653801,845
4.982051,7.117557,846
5.008031,7.01912,847
5.459617,6.179672,848
3.001953,6.716387,849
5.33115,5.209013,850
5.431506,5.267694,851
5.651861,6.069235,852
4.324642,7.621273,853
4.649069,6.631589,854
4.986919,7.168509,855
4.57699,8.422464,856
4.605807,8.015425,857
4.220982,8.33402,858
4.308178,7.613281,859
4.425925,6.910129,860
4.544909,8.03688,861
5.548674,6.012888,862
4.270494,7.641153,863
6.075036,5.562606,864
5.545701,6.764376,865
4.263037,8.145522,866
4.174016,7.960539,867
4.163627,7.937273,868
5.197763,6.491144,869
4.17891,7.978079,870
4.120594,7.987084,871
5.375453,6.038646,872
4.685338,7.097316,873
5.00767,6.811529,874
4.170838,7.945941,875
4.317285,8.338764,876
4.26717,7.672762,877
4.622961,6.912772,878
4.262741,8.183292,879
4.266015,7.790659,880
5.521511,6.058143,881
5.973016,4.844309,882
5.35467,6.839582,883
5.559402,5.220598,884
5.659069,5.354417,885
5.414165,5.361748,886
5.463905,5.901207,887
5.541103,5.915499,888
5.662663,6.484458,889
4.566335,6.833693,890
4.440921,6.885328,891
4.640553,6.897793,892
4.442189,6.93821,893
4.551113,6.953444,894
4.531368,6.963274,895
4.653644,7.018082,896
4.638303,7.080338,897
4.630154,7.076317,898
4.702266,7.117899,899
4.729385,7.118981,900
4.762212,7.110684,901
10.41183,7.493206,902
5.562413,5.714344,903
4.423422,7.154705,904
4.415171,7.140176,905
