longitude,latitude
36.8040596,-1.2674856
36.7973407,-1.2596897
36.77077179999999,-1.2903252
36.76877329999999,-1.2960508
36.7906608,-1.2585154
36.7789504,-1.2644777
36.779680299999995,-1.2653526
36.7786367,-1.2651090999999999
36.7798183,-1.2646569
36.7940754,-1.282812
36.7963821,-1.2821470000000001
36.7975462,-1.2826994
36.7975247,-1.2832786000000003
36.797213600000006,-1.2832464000000001
36.79711170000001,-1.2835734999999997
36.79619970000001,-1.2834555
36.7956708,-1.2846042
36.7939504,-1.2842042
36.7941458,-1.2837299
36.786443299999995,-1.2814064
36.7869337,-1.2822246
36.78755569999999,-1.2818095999999999
36.7871655,-1.280941
36.7553826,-1.2888117
36.7553836,-1.2890266000000001
36.7558769,-1.2890244
36.7558762,-1.288871
36.7562395,-1.2888693
36.7562389,-1.2887315999999998
36.7558036,-1.2887336
36.755804,-1.2888098
36.7546564,-1.2892602
36.7564856,-1.2893192
36.7565259,-1.2877344
36.7559948,-1.2877049
36.7558392,-1.2878228999999999
36.75487630000001,-1.2888848
36.754541,-1.289228
36.7966936,-1.2595952
36.79764850000001,-1.2597346
36.7754957,-1.2689536
36.777949,-1.2682632999999999
36.777900699999996,-1.2691375000000003
36.7785391,-1.2693038
36.7783191,-1.2696309
36.7778149,-1.271331
36.7768332,-1.2710843000000003
36.7753848,-1.2709555999999997
36.7755434,-1.2694181
36.76551880000001,-1.2870263
36.76555559999999,-1.2875973
36.7647168,-1.2877229
36.7647517,-1.2870748
36.764697500000004,-1.2877327
36.7647351,-1.2878720999999997
36.76495800000001,-1.2877982
36.7649097,-1.2876581
36.7835731,-1.2924802
36.7847345,-1.2924372999999998
36.784866,-1.2936896
36.783999599999994,-1.2937271
36.7836539,-1.2935053
36.7822067,-1.2572737
36.7841861,-1.2574400000000001
36.7840064,-1.2591509
36.7820256,-1.2588880000000002
36.7545827,-1.2895529
36.7545928,-1.2899155000000002
36.7540843,-1.2902743
36.754211500000004,-1.2895535
36.7900236,-1.2760198
36.7901524,-1.2759501
36.7908551,-1.2759072000000002
36.7925184,-1.2765642
36.79163830000001,-1.2773874000000003
36.808515,-1.2761011
36.7971489,-1.2862693999999997
36.7921531,-1.2763787
36.79414959999999,-1.2832957
36.782106600000006,-1.2583619
36.7821898,-1.2584665
36.78255190000001,-1.258578
36.7825519,-1.2585791000000002
36.7824889,-1.2585694
36.7824955,-1.2585094000000001
36.7824634,-1.2587775000000003
36.7824887,-1.2585705
36.7825706,-1.2584263
36.78204220000001,-1.2588096999999998
36.782525,-1.2588687000000003
36.7821522,-1.2587346
36.7610514,-1.2631279999999996
36.7625182,-1.2628871000000002
36.763867600000005,-1.2626134
36.7643366,-1.2625165999999999
36.7647271,-1.2623829
36.7652686,-1.2621152999999998
36.7662623,-1.2615567
36.7671615,-1.261003
36.767783,-1.260681
36.76825869999999,-1.2604881
36.7687446,-1.2602967
36.7695472,-1.2601087
36.7707673,-1.2598588
36.770406200000004,-1.2580673
36.7752005,-1.2680954
36.775401200000005,-1.2685351
36.776078000000005,-1.2682196
36.7761536,-1.2675778
36.780616900000005,-1.2959644
36.7818189,-1.2959062999999997
36.7817461,-1.2942348
36.7813363,-1.2942718
36.781331699999996,-1.2941301000000003
36.7812578,-1.2941378
36.781256400000004,-1.2939276999999998
36.7805409,-1.2939738000000003
36.7686975,-1.2955181
36.7677372,-1.2953572
36.7986709,-1.2881453
36.7986975,-1.2880367
36.79890400000001,-1.2880873
36.7989262,-1.2879965000000002
36.7991261,-1.2880454
36.7990773,-1.2882447999999997
36.77252430000001,-1.2704026000000002
36.7743101,-1.2717053
36.8092278,-1.2818246000000002
36.8081764,-1.2821839
36.80811740000001,-1.2826130000000002
36.80725900000001,-1.2825218
36.8071088,-1.2831117
36.8066797,-1.2838250000000002
36.8074683,-1.2851283
36.8089864,-1.2850103
36.8101129,-1.2852355000000002
36.8114165,-1.2857449999999997
36.812162099999995,-1.2846777999999999
36.811883200000004,-1.2844096
36.811641800000004,-1.2839913
36.8116364,-1.2836266
36.811674,-1.2835622
